x_coords,y_coords,pa,t,missing,ID,video_index,step
500.29998779296875,468.79998779296875,1587,352453073,0,2720dn,203,51
285.5,428.79998779296875,1586,352453574,0,2720dn,203,52
1438.5,638.7000122070312,1610,352454074,0,2720dn,203,53
1651.5999755859375,651,1637,352454573,0,2720dn,203,54
338.6000061035156,430.8999938964844,1492,352455073,0,2720dn,203,55
1388.5999755859375,1401.699951171875,984,352455625,0,2720dn,203,56
1242.699951171875,454.20001220703125,1682,352456073,0,2720dn,203,57
1241.199951171875,479.8999938964844,1769,352456573,0,2720dn,203,58
1206.5,515.9000244140625,1818,352457074,0,2720dn,203,59
1240.5999755859375,470.20001220703125,1831,352457573,0,2720dn,203,60
1326.199951171875,547,1766,352458073,0,2720dn,203,61
1271.300048828125,715.0999755859375,1212,1908804895,0,2753nt,68,1
1220.4000244140625,762.2000122070312,1208,1908805395,0,2753nt,68,2
1278,707.2999877929688,1161,1908805895,0,2753nt,68,3
1347.699951171875,1083.5999755859375,1191,1908806396,0,2753nt,68,4
1244.5999755859375,1037.4000244140625,1194,1908806896,0,2753nt,68,5
1508.5,1048.800048828125,1246,1908807395,0,2753nt,68,6
1222.199951171875,1059.199951171875,1353,1908807895,0,2753nt,68,7
1216.5,1061.4000244140625,1413,1908808396,0,2753nt,68,8
866.5999755859375,1031.199951171875,1451,1908808896,0,2753nt,68,9
903.5,739.2000122070312,1401,1908809395,0,2753nt,68,10
1363.0999755859375,824.2000122070312,1377,1908809895,0,2753nt,68,11
2268.300048828125,925.0999755859375,1311,1908810395,0,2753nt,68,12
1361.4000244140625,621.7999877929688,1349,1908810895,0,2753nt,68,13
1175.300048828125,603.2999877929688,1477,1908811396,0,2753nt,68,14
1104.5999755859375,948.2999877929688,1571,1908811895,0,2753nt,68,15
414.8999938964844,503.20001220703125,1423,1908812395,0,2753nt,68,16
1030.300048828125,498.3999938964844,1472,1908812895,0,2753nt,68,17
1135.5,532.2000122070312,1555,1908813396,0,2753nt,68,18
1205.800048828125,542.9000244140625,1482,1908813895,0,2753nt,68,19
999.5999755859375,884.9000244140625,1506,1908814395,0,2753nt,68,20
1089.199951171875,1290.800048828125,1550,1908814896,0,2753nt,68,21
1282.0999755859375,608.4000244140625,1481,1908815458,0,2753nt,68,22
2029,643.7000122070312,1375,1908815896,0,2753nt,68,23
1110,640.4000244140625,1517,1908816395,0,2753nt,68,24
903.9000244140625,644.2999877929688,1635,1908816896,0,2753nt,68,25
987.5999755859375,664.0999755859375,1813,1908817395,0,2753nt,68,26
1360.199951171875,724.9000244140625,1728,1908817895,0,2753nt,68,27
1359.699951171875,700.5999755859375,1316,1908818395,0,2753nt,68,28
2155.800048828125,328.29998779296875,1353,1908818895,0,2753nt,68,29
1489.300048828125,345.20001220703125,1229,1908819395,0,2753nt,68,30
1616,552.2000122070312,1214,1908819895,0,2753nt,68,31
1536.800048828125,764.7000122070312,1261,1908820396,0,2753nt,68,32
2260.5,873.7999877929688,1074,1908820895,0,2753nt,68,33
2184.300048828125,881.0999755859375,1150,1908821396,0,2753nt,68,34
2193.5,342.20001220703125,2013,1908821964,0,2753nt,68,35
2217.199951171875,626.7000122070312,1033,1908822395,0,2753nt,68,36
1718,776.9000244140625,1151,1908822895,0,2753nt,68,37
1359.5999755859375,749.5,1188,1908823395,0,2753nt,68,38
2318.800048828125,879.4000244140625,1069,1908823895,0,2753nt,68,39
952.2999877929688,482,1115,1908824395,0,2753nt,68,40
2014.4000244140625,266.1000061035156,1022,1908824896,0,2753nt,68,41
2339.399902,986,1147,1908825396,0,2753nt,68,42
2277.199951171875,953,1095,1908825895,0,2753nt,68,43
2288,427.79998779296875,1874,1908826447,0,2753nt,68,44
2019.4000244140625,854.5999755859375,1142,1908826896,0,2753nt,68,45
1884.9000244140625,842.5,1138,1908827396,0,2753nt,68,46
1826.4000244140625,830.2000122070312,1176,1908827895,0,2753nt,68,47
1738.699951171875,855,1191,1908828395,0,2753nt,68,48
1609.4000244140625,851,1179,1908828895,0,2753nt,68,49
1564.199951171875,851.7000122070312,1180,1908829395,0,2753nt,68,50
1476.699951171875,823.5,1203,1908829895,0,2753nt,68,51
1384.4000244140625,825.4000244140625,1182,1908830397,0,2753nt,68,52
2316.300048828125,894.0999755859375,1030,1908830897,0,2753nt,68,53
538.5999755859375,251.1999969482422,1028,1908831397,0,2753nt,68,54
2201.699951171875,352.20001220703125,992,1908831896,0,2753nt,68,55
2283.100098,959.2999877929688,1129,1908832395,0,2753nt,68,56
340.3999938964844,801.4000244140625,1255,1908832896,0,2753nt,68,57
1486.5,922.0999755859375,1153,1908833395,0,2753nt,68,58
1825.199951171875,948.2000122070312,1239,1908833895,0,2753nt,68,59
1677.199951171875,918.0999755859375,1295,1908834395,0,2753nt,68,60
1281.699951171875,734.7000122070312,1098,1908682433,0,2753nt,95,1
1786.0999755859375,516.7000122070312,995,1908682933,0,2753nt,95,2
463.20001220703125,436.20001220703125,1186,1908683433,0,2753nt,95,3
842.5,624,1144,1908683933,0,2753nt,95,4
1886.199951171875,710.7999877929688,1133,1908684433,0,2753nt,95,5
1850.699951171875,826.4000244140625,1238,1908684934,0,2753nt,95,6
891.5,663.2000122070312,1371,1908685433,0,2753nt,95,7
1769.5999755859375,522.0999755859375,1293,1908685933,0,2753nt,95,8
1759.5999755859375,521.9000244140625,1293,1908686433,0,2753nt,95,9
797,625.7000122070312,1437,1908686933,0,2753nt,95,10
869.0999755859375,653.4000244140625,1424,1908687433,0,2753nt,95,11
875.5,652.2000122070312,1398,1908687933,0,2753nt,95,12
876.2000122070312,646.2999877929688,1372,1908688433,0,2753nt,95,13
917.4000244140625,732.7999877929688,1426,1908688934,0,2753nt,95,14
1706.0999755859375,492,1438,1908689433,0,2753nt,95,15
1763.800048828125,533.7000122070312,1380,1908689933,0,2753nt,95,16
1842.5,732.0999755859375,1364,1908690434,0,2753nt,95,17
1728.5999755859375,513.9000244140625,1437,1908690934,0,2753nt,95,18
1744.9000244140625,522.5,1496,1908691434,0,2753nt,95,19
1797.800048828125,516.7999877929688,1420,1908691934,0,2753nt,95,20
631.2000122070312,551.2999877929688,1302,1908692433,0,2753nt,95,21
717.0999755859375,745,1367,1908692934,0,2753nt,95,22
1679.800048828125,493.20001220703125,1358,1908693434,0,2753nt,95,23
1820.800048828125,488,1262,1908693933,0,2753nt,95,24
1845.0999755859375,495.29998779296875,1156,1908694433,0,2753nt,95,25
696.5,692.7999877929688,1346,1908694934,0,2753nt,95,26
1582.5999755859375,503.29998779296875,1331,1908695434,0,2753nt,95,27
1599.5999755859375,509.79998779296875,1495,1908695933,0,2753nt,95,28
1681.5,1074.5999755859375,1612,1908696433,0,2753nt,95,29
1744.699951171875,846.7000122070312,1561,1908696934,0,2753nt,95,30
1818.4000244140625,1296.0999755859375,1688,1908697433,0,2753nt,95,31
1787.5,515,1716,1908697934,0,2753nt,95,32
1401.199951171875,583.2000122070312,1758,1908698433,0,2753nt,95,33
1451.5,571.9000244140625,1588,1908698933,0,2753nt,95,34
1608.0999755859375,396.3999938964844,2656,1908699544,0,2753nt,95,35
1287.300048828125,571.4000244140625,1465,1908699933,0,2753nt,95,36
1315.9000244140625,543.2000122070312,1505,1908700433,0,2753nt,95,37
1330.0999755859375,557.2999877929688,1529,1908700933,0,2753nt,95,38
1595.9000244140625,490.79998779296875,1378,1908701433,0,2753nt,95,39
1551.300048828125,547.2999877929688,1569,1908701933,0,2753nt,95,40
1539.5999755859375,546.7999877929688,1629,1908702434,0,2753nt,95,41
1625.5,501.5,1694,1908702933,0,2753nt,95,42
1634.0999755859375,903.5999755859375,1791,1908703434,0,2753nt,95,43
1504.800048828125,1280.699951171875,1779,1908703934,0,2753nt,95,44
1615.5999755859375,542.7000122070312,1661,1908704433,0,2753nt,95,45
1602.300048828125,541.2000122070312,1742,1908704933,0,2753nt,95,46
881.0999755859375,1160.199951171875,1885,1908705433,0,2753nt,95,47
665.7999877929688,1155.0999755859375,1754,1908705933,0,2753nt,95,48
640.7000122070312,1045.5999755859375,1503,1908706434,0,2753nt,95,49
643.2000122070312,1052.0999755859375,1514,1908706934,0,2753nt,95,50
694.5,555.2000122070312,1568,1908707433,0,2753nt,95,51
2558.100098,323.70001220703125,1813,1908707933,0,2753nt,95,52
2224,605.5999755859375,1238,1908708434,0,2753nt,95,53
